Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
2,23,303140,11,506,2248261,4929785,8
3,34,430655,45,430,1237917,3797879,2
3,33,315392,99,847,712459,4900313,4
1,4,129368,24,252,348692,2796844,13
1,4,114792,36,304,304812,2483612,6
2,11,245960,38,93,756002,2986483,3
1,3,61191,24,210,231564,154698,9
2,21,413500,10,262,1404375,1603854,15
3,35,695975,81,256,921316,3242575,15
3,25,342175,50,8,1505175,3012433,10
2,17,368177,51,671,1245522,2835515,3
3,25,331516,16,475,1305833,6853741,15
1,1,40886,4,49,184427,915763,11
3,35,829675,93,536,1547828,10493396,5
3,30,271610,10,710,1866340,1010980,5
2,13,309874,58,377,1050933,1931884,4
2,12,134610,6,432,612306,3303564,15
3,28,618716,46,130,1701149,8459537,3
2,14,282464,70,28,781242,5161471,7
2,23,828862,57,414,1550752,9163234,8
3,39,682643,117,507,2556489,2469831,12
3,29,414419,9,850,879579,2046307,7
2,10,107555,10,325,769615,459775,11
1,5,174000,50,200,402785,2407455,2
3,40,511013,13,720,1710720,9027306,10
3,39,436787,13,910,1854931,12297818,1
2,23,582302,69,149,1194252,5647880,10
2,23,808530,80,437,1303053,6757135,15
3,35,241896,58,501,763595,8174343,7
3,29,713322,58,686,1914512,1767753,13
3,25,605275,50,658,1561033,2915858,7
3,31,774421,20,186,1180759,1381504,3
2,22,418957,44,814,1104950,6396390,5
2,14,158844,42,119,1039234,6411629,15
3,40,680826,80,466,1616760,7253106,5
2,24,410328,84,1104,1853904,1769832,12
2,12,224292,6,60,1010274,4323030,5
2,15,377850,60,307,451537,416505,7
2,12,276612,6,288,891690,1821942,4
2,20,406730,30,680,944620,9705030,6
2,15,294825,7,532,1338345,5415292,3
3,39,736034,65,39,2283346,11865191,1
2,20,267890,30,780,628220,1127230,9
2,12,188910,6,258,1021242,4771818,1
1,4,285100,16,288,273432,353828,12
2,9,336321,13,369,520668,4475079,10
3,38,632408,88,1241,2316860,10983634,5
3,38,628013,126,785,955852,8152317,3
3,35,424130,70,583,1175195,2647330,9
3,25,338050,83,433,1617825,4409791,5
3,32,778805,10,949,1471306,633024,1
2,17,241519,17,306,907553,5489147,5
2,13,164729,45,351,404105,850271,6
3,38,770158,126,570,1474324,4365516,15
2,21,274648,42,682,1286512,1704139,2
2,9,286600,18,310,883669,4121406,5
3,37,437981,49,814,716135,11469765,9
2,12,301650,18,138,589104,2440044,3
2,11,279295,11,511,511797,1179926,10
2,16,395976,72,32,1452368,3952384,15
3,30,689600,30,160,616190,6440660,7
3,35,364361,81,676,1764781,1555598,8
3,38,813656,12,50,2071190,9792245,3
2,13,472485,45,338,414323,847977,14
1,1,22064,10,20,69162,591968,11
3,26,284362,17,676,1690017,4442212,6
1,5,328190,35,50,445355,2274570,12
2,20,663380,60,470,1549650,6035350,10
3,31,711429,82,175,1390804,10211214,11
3,29,448610,67,212,1059524,2040855,14
1,5,103510,10,225,307445,881470,4
2,21,712404,105,577,867405,3104818,10
1,5,360125,15,80,471285,1518595,9
1,5,144015,25,175,450500,3552290,9
3,32,396629,106,874,1616117,4042933,9
3,32,457162,53,42,1990538,6620064,11
2,24,587148,60,1032,1345644,1919952,5
2,9,216621,27,405,587920,549666,11
2,16,290112,64,296,1144448,1429080,6
1,1,50832,4,14,124512,996850,7
2,12,310458,30,600,1085358,3717810,14
3,29,517427,19,512,1783364,8441687,5
2,9,322578,36,85,592749,4172818,9
