Place,Latitude,Longitude,Temperature,Humidity,Wind,Weather
South Jamesport,-72.5772974,40.9366323,-4,35,13,Sunny
South Andrew,-71.0571915,42.3300216,39,26,9,Cloudy
New Thomas,-103.2924444,36.2455871,26,80,6,Sunny
West Joseph,-2.8812257,53.2667204,-15,48,20,Sunny
Ericville,-97.1209529,32.6182276,3,18,14,Sunny
North Stacey,-79.5814168,36.4281932,-8,65,23,Sunny
Russellville,-93.1337856,35.2784173,17,17,22,Cloudy
North Bryan,-81.5955633,31.8962699,-20,60,20,Rainy
Port Susan,-122.40647022437042,48.14106505,4,24,16,Rainy
Lake Kimberly,-91.5118197646444,35.8757023,2,79,18,Rainy
New Heidi,-0.6099462797648864,51.482974049999996,2,57,25,Cloudy
East Suzanne,-114.3872647,32.6812433,37,92,23,Rainy
New Marcus,-0.1421345925819706,51.5099233,16,17,12,Cloudy
East Stephanie,-96.64309344495527,34.778367450000005,25,64,4,Cloudy
New Timothy,-73.760914,42.178601,-8,13,9,Rainy
Lake Brian,-88.8600728,40.40752,17,65,18,Rainy
South Michael,34.451989152474155,-0.10933905,34,23,18,Cloudy
Port Jasmine,49.2992206,-12.2751409,13,43,15,Sunny
South Molly,-111.6301348,33.3286396,7,61,4,Cloudy
Port Tina,166.4845805,-22.2386419,37,52,21,Sunny
North Dorothy,-96.9340185,35.3563143,27,64,19,Sunny
Brownton,-94.3502593,44.7319068,20,66,6,Rainy
North Christina,-83.3844227,42.3266934,-3,12,3,Sunny
Port Lisa,-82.69713952963325,28.28852165,-4,63,5,Cloudy
Hunterland,30.65450097560976,39.7573489,12,21,18,Sunny
Andrewville,171.2742376,-44.2324999,-3,52,23,Sunny
Melissaview,-84.658567,39.147453,26,43,16,Rainy
Gordonville,-86.7158329,32.1523397,30,48,10,Rainy
East Stephen,-2.357978,54.4625907,-7,29,22,Rainy
West Nicholas,-80.770707,38.2784261,20,69,16,Rainy
North Stacy,-76.4157526,34.8498853,23,11,12,Cloudy
New Ashley,-2.638357928754617,53.82725535,-19,78,21,Sunny
West Carrie,-97.5584855,30.3395158,-18,66,9,Cloudy
Woodsbury,-94.3464094,39.1426911,4,65,25,Sunny
East Nicole,-97.332584,37.540458,37,76,21,Cloudy
